,bill_id,bill_date,due_date,subscriptionID,amount
0,BILL_443989,2021-04-08 23:26:57,2021-04-18 23:26:57,SUB_978827,256.0
1,BILL_103950,2021-05-31 04:38:34,2021-06-10 04:38:34,SUB_978827,187.73333333333332
2,BILL_775492,2020-08-04 03:57:40,2020-08-14 03:57:40,SUB_476538,1024.0
3,BILL_602939,2020-09-03 03:57:40,2020-09-13 03:57:40,SUB_476538,1024.0
4,BILL_354602,2020-10-03 03:57:40,2020-10-13 03:57:40,SUB_476538,1024.0
5,BILL_333821,2020-11-02 03:57:40,2020-11-12 03:57:40,SUB_476538,1024.0
6,BILL_293217,2020-12-02 03:57:40,2020-12-12 03:57:40,SUB_476538,1024.0
7,BILL_262394,2021-01-05 00:33:01,2021-01-15 00:33:01,SUB_476538,102.4
8,BILL_738735,2020-09-29 07:33:15,2020-10-09 07:33:15,SUB_906083,8.0
9,BILL_725566,2020-10-29 07:33:15,2020-11-08 07:33:15,SUB_906083,8.0
10,BILL_802198,2020-11-28 07:33:15,2020-12-08 07:33:15,SUB_906083,8.0
11,BILL_739764,2020-12-28 07:33:15,2021-01-07 07:33:15,SUB_906083,8.0
12,BILL_818216,2021-01-27 07:33:15,2021-02-06 07:33:15,SUB_906083,8.0
13,BILL_587867,2021-02-26 07:33:15,2021-03-08 07:33:15,SUB_906083,8.0
14,BILL_346339,2021-03-28 07:33:15,2021-04-07 07:33:15,SUB_906083,8.0
15,BILL_273070,2021-04-27 07:33:15,2021-05-07 07:33:15,SUB_906083,8.0
16,BILL_205161,2021-05-27 07:33:15,2021-06-06 07:33:15,SUB_906083,8.0
17,BILL_586605,2021-06-26 07:33:15,2021-07-06 07:33:15,SUB_906083,8.0
18,BILL_936559,2021-07-26 07:33:15,2021-08-05 07:33:15,SUB_906083,8.0
19,BILL_858057,2021-08-25 07:33:15,2021-09-04 07:33:15,SUB_906083,8.0
20,BILL_194496,2021-10-04 21:56:09,2021-10-14 21:56:09,SUB_906083,2.6666666666666665
21,BILL_264641,2021-05-28 22:58:25,2021-06-07 22:58:25,SUB_400591,4096.0
22,BILL_863904,2021-07-22 11:06:20,2021-08-01 11:06:20,SUB_400591,3276.8
23,BILL_701451,2020-04-05 16:41:21,2020-04-15 16:41:21,SUB_990225,480.0
24,BILL_336170,2020-05-05 16:41:21,2020-05-15 16:41:21,SUB_990225,480.0
25,BILL_330826,2020-06-04 16:41:21,2020-06-14 16:41:21,SUB_990225,480.0
26,BILL_769757,2020-07-14 23:00:16,2020-07-24 23:00:16,SUB_990225,160.0
27,BILL_738562,2020-08-07 14:24:05,2020-08-17 14:24:05,SUB_178307,80.0
28,BILL_517764,2020-09-06 14:24:05,2020-09-16 14:24:05,SUB_178307,80.0
29,BILL_553274,2020-10-06 14:24:05,2020-10-16 14:24:05,SUB_178307,80.0
30,BILL_686596,2020-11-05 14:24:05,2020-11-15 14:24:05,SUB_178307,80.0
31,BILL_837590,2020-12-05 14:24:05,2020-12-15 14:24:05,SUB_178307,80.0
32,BILL_896209,2021-01-04 14:24:05,2021-01-14 14:24:05,SUB_178307,80.0
33,BILL_713105,2021-02-03 14:24:05,2021-02-13 14:24:05,SUB_178307,80.0
34,BILL_100309,2021-03-05 14:24:05,2021-03-15 14:24:05,SUB_178307,80.0
35,BILL_100450,2021-04-04 14:24:05,2021-04-14 14:24:05,SUB_178307,80.0
36,BILL_474227,2021-05-04 14:24:05,2021-05-14 14:24:05,SUB_178307,80.0
37,BILL_661670,2021-06-03 14:24:05,2021-06-13 14:24:05,SUB_178307,80.0
38,BILL_212809,2021-07-03 14:24:05,2021-07-13 14:24:05,SUB_178307,80.0
39,BILL_433570,2021-08-02 14:24:05,2021-08-12 14:24:05,SUB_178307,80.0
40,BILL_674881,2021-09-09 02:40:25,2021-09-19 02:40:25,SUB_178307,18.666666666666668
41,BILL_564781,2021-02-07 08:31:24,2021-02-17 08:31:24,SUB_664634,1280.0
42,BILL_223093,2021-03-09 08:31:24,2021-03-19 08:31:24,SUB_664634,1280.0
43,BILL_526036,2021-04-08 08:31:24,2021-04-18 08:31:24,SUB_664634,1280.0
44,BILL_292415,2021-05-08 08:31:24,2021-05-18 08:31:24,SUB_664634,1280.0
45,BILL_719728,2021-06-07 08:31:24,2021-06-17 08:31:24,SUB_664634,1280.0
46,BILL_419898,2021-07-07 08:31:24,2021-07-17 08:31:24,SUB_664634,1280.0
47,BILL_521011,2021-08-06 08:31:24,2021-08-16 08:31:24,SUB_664634,1280.0
48,BILL_520940,2021-09-05 08:31:24,2021-09-15 08:31:24,SUB_664634,1280.0
49,BILL_268361,2021-10-05 08:31:24,2021-10-15 08:31:24,SUB_664634,1280.0
50,BILL_907149,2021-02-25 17:42:34,2021-03-07 17:42:34,SUB_376322,2560.0
51,BILL_611897,2021-03-27 17:42:34,2021-04-06 17:42:34,SUB_376322,2560.0
52,BILL_563731,2021-04-26 17:42:34,2021-05-06 17:42:34,SUB_376322,2560.0
53,BILL_958855,2021-05-26 17:42:34,2021-06-05 17:42:34,SUB_376322,2560.0
54,BILL_147939,2021-06-25 17:42:34,2021-07-05 17:42:34,SUB_376322,2560.0
55,BILL_851890,2021-07-25 17:42:34,2021-08-04 17:42:34,SUB_376322,2560.0
56,BILL_938630,2021-08-24 17:42:34,2021-09-03 17:42:34,SUB_376322,2560.0
57,BILL_468925,2021-09-23 17:42:34,2021-10-03 17:42:34,SUB_376322,2560.0
58,BILL_917806,2020-08-11 02:04:29,2020-08-21 02:04:29,SUB_720081,384.0
59,BILL_990660,2020-09-10 02:04:29,2020-09-20 02:04:29,SUB_720081,384.0
60,BILL_133894,2020-10-10 02:04:29,2020-10-20 02:04:29,SUB_720081,384.0
61,BILL_314273,2020-11-09 02:04:29,2020-11-19 02:04:29,SUB_720081,384.0
62,BILL_520003,2020-12-09 02:04:29,2020-12-19 02:04:29,SUB_720081,384.0
63,BILL_667825,2021-01-08 02:04:29,2021-01-18 02:04:29,SUB_720081,384.0
64,BILL_918943,2021-02-07 02:04:29,2021-02-17 02:04:29,SUB_720081,384.0
65,BILL_595549,2021-03-09 02:04:29,2021-03-19 02:04:29,SUB_720081,384.0
66,BILL_952194,2021-04-08 02:04:29,2021-04-18 02:04:29,SUB_720081,384.0
67,BILL_511037,2021-05-08 02:04:29,2021-05-18 02:04:29,SUB_720081,384.0
68,BILL_669993,2021-06-07 02:04:29,2021-06-17 02:04:29,SUB_720081,384.0
69,BILL_925840,2021-07-07 02:04:29,2021-07-17 02:04:29,SUB_720081,384.0
70,BILL_575615,2021-08-06 02:04:29,2021-08-16 02:04:29,SUB_720081,384.0
71,BILL_723123,2021-09-05 02:04:29,2021-09-15 02:04:29,SUB_720081,384.0
72,BILL_713825,2021-10-05 02:04:29,2021-10-15 02:04:29,SUB_720081,384.0
73,BILL_358496,2021-06-22 20:52:11,2021-07-02 20:52:11,SUB_941155,120.0
74,BILL_826897,2021-07-22 20:52:11,2021-08-01 20:52:11,SUB_941155,120.0
75,BILL_937053,2021-08-21 20:52:11,2021-08-31 20:52:11,SUB_941155,120.0
76,BILL_808774,2021-09-20 20:52:11,2021-09-30 20:52:11,SUB_941155,120.0
77,BILL_257959,2021-10-20 20:52:11,2021-10-30 20:52:11,SUB_941155,120.0
78,BILL_560529,2021-08-18 01:17:03,2021-08-28 01:17:03,SUB_767960,256.0
79,BILL_543404,2021-09-17 01:17:03,2021-09-27 01:17:03,SUB_767960,256.0
80,BILL_190612,2021-10-17 01:17:03,2021-10-27 01:17:03,SUB_767960,256.0
81,BILL_860871,2020-08-02 06:28:33,2020-08-12 06:28:33,SUB_924270,80.0
82,BILL_584805,2020-09-01 06:28:33,2020-09-11 06:28:33,SUB_924270,80.0
83,BILL_943158,2020-10-01 06:28:33,2020-10-11 06:28:33,SUB_924270,80.0
84,BILL_886363,2020-10-31 06:28:33,2020-11-10 06:28:33,SUB_924270,80.0
85,BILL_633382,2020-11-30 06:28:33,2020-12-10 06:28:33,SUB_924270,80.0
86,BILL_360670,2020-12-30 06:28:33,2021-01-09 06:28:33,SUB_924270,80.0
87,BILL_427999,2021-01-29 06:28:33,2021-02-08 06:28:33,SUB_924270,80.0
88,BILL_453594,2021-02-28 06:28:33,2021-03-10 06:28:33,SUB_924270,80.0
89,BILL_407649,2021-03-30 06:28:33,2021-04-09 06:28:33,SUB_924270,80.0
90,BILL_279057,2021-04-29 06:28:33,2021-05-09 06:28:33,SUB_924270,80.0
91,BILL_704691,2021-05-29 06:28:33,2021-06-08 06:28:33,SUB_924270,80.0
92,BILL_174298,2021-06-28 06:28:33,2021-07-08 06:28:33,SUB_924270,80.0
93,BILL_882800,2021-07-28 06:28:33,2021-08-07 06:28:33,SUB_924270,80.0
94,BILL_782276,2021-08-27 06:28:33,2021-09-06 06:28:33,SUB_924270,80.0
95,BILL_706234,2021-09-26 06:28:33,2021-10-06 06:28:33,SUB_924270,80.0
96,BILL_407554,2020-12-19 10:58:36,2020-12-29 10:58:36,SUB_235634,149.33333333333334
