,instance_id,zone,allocated,computeID,storageID,inst_type
0,INS_434724,Asia,0,,STO_221403,STO
1,INS_486480,Asia,1,COM_507722,,COM
2,INS_172882,North America,0,,STO_600517,STO
3,INS_809353,Antarctica,0,,STO_358360,STO
4,INS_767676,Africa,1,,STO_799690,STO
5,INS_274142,South America,1,COM_507722,,COM
6,INS_207494,Europe,1,,STO_732664,STO
7,INS_705525,Australia,1,COM_995209,,COM
8,INS_734450,Europe,0,,STO_946790,STO
9,INS_296675,South America,0,COM_612128,,COM
10,INS_736524,Australia,1,,STO_732664,STO
11,INS_576389,Asia,1,COM_162459,,COM
12,INS_136940,South America,0,,STO_631748,STO
13,INS_543493,North America,0,COM_606198,,COM
14,INS_902633,Australia,0,,STO_900589,STO
15,INS_785204,South America,0,COM_928176,,COM
16,INS_165422,North America,0,COM_560969,,COM
17,INS_642719,Asia,0,COM_158114,,COM
18,INS_526564,Australia,1,,STO_838001,STO
19,INS_718668,Europe,0,,STO_631748,STO
20,INS_663673,South America,0,,STO_732664,STO
21,INS_285056,Europe,0,COM_516803,,COM
22,INS_596004,Europe,0,,STO_631748,STO
23,INS_769496,Australia,0,,STO_706754,STO
24,INS_954252,Australia,0,COM_182425,,COM
25,INS_380779,Australia,0,,STO_814058,STO
26,INS_467624,Europe,0,,STO_153142,STO
27,INS_790723,Antarctica,0,COM_560969,,COM
28,INS_458006,Africa,0,,STO_374230,STO
29,INS_563816,South America,1,COM_995209,,COM
30,INS_320916,South America,1,,STO_399975,STO
31,INS_832580,Asia,0,COM_560969,,COM
32,INS_707341,Australia,0,COM_223785,,COM
33,INS_798053,Europe,0,COM_609357,,COM
34,INS_349175,Asia,0,,STO_631748,STO
35,INS_322791,Asia,0,COM_662022,,COM
36,INS_983169,Europe,0,,STO_935715,STO
37,INS_161876,Europe,0,,STO_221403,STO
38,INS_262118,Antarctica,1,,STO_706754,STO
39,INS_397573,South America,0,COM_131278,,COM
40,INS_870537,Europe,1,COM_413738,,COM
41,INS_162107,Australia,0,,STO_838001,STO
42,INS_719527,Europe,0,,STO_814058,STO
43,INS_755796,Africa,0,COM_476584,,COM
44,INS_901908,Europe,0,,STO_488286,STO
