,log_id,instance_id,log_message,error_code,time
0,LOG_654573,INS_128361,instance crashed,500,2021-04-14 04:44:10
1,LOG_264048,INS_110576,instance initiated,200,2020-03-23 21:22:37
2,LOG_961813,INS_148101,user logged in,201,2021-05-10 05:18:12
3,LOG_664174,INS_199963,instance terminated,999,2020-04-02 22:38:19
4,LOG_481352,INS_182756,instance crashed,500,2021-02-08 13:33:41
5,LOG_406845,INS_450594,user logged in,201,2020-04-11 10:07:07
6,LOG_794762,INS_809202,instance initiated,200,2021-04-28 20:18:55
7,LOG_359348,INS_378734,instance initiated,200,2021-06-02 03:23:25
8,LOG_644443,INS_934927,instance terminated,999,2020-03-14 02:29:46
9,LOG_190473,INS_592103,instance crashed,500,2020-07-04 02:21:28
10,LOG_809647,INS_289746,user logged in,201,2021-08-12 16:27:45
11,LOG_284832,INS_635752,instance crashed,500,2021-07-30 00:55:22
12,LOG_760853,INS_338645,instance initiated,200,2020-11-02 06:54:12
13,LOG_989696,INS_778329,instance crashed,500,2021-03-31 22:51:58
14,LOG_474001,INS_180626,instance initiated,200,2020-06-17 14:37:17
15,LOG_588362,INS_792559,instance restart,501,2020-09-27 23:41:28
16,LOG_320262,INS_359106,user logged in,201,2020-01-29 09:00:00
17,LOG_143365,INS_624172,instance initiated,200,2020-01-31 15:16:21
18,LOG_995199,INS_445454,instance initiated,200,2021-10-12 03:57:04
19,LOG_746048,INS_471370,user logged in,201,2020-11-24 14:34:59
20,LOG_534241,INS_418300,instance shutdown,499,2020-10-14 03:39:26
21,LOG_773410,INS_552763,instance initiated,200,2020-07-22 10:59:05
22,LOG_698118,INS_643087,instance shutdown,499,2020-11-06 18:31:01
23,LOG_944604,INS_677570,instance restart,501,2020-08-03 03:47:33
24,LOG_322613,INS_676599,instance crashed,500,2020-07-29 13:08:43
25,LOG_962474,INS_485781,instance restart,501,2021-03-10 23:07:12
26,LOG_412279,INS_155086,instance restart,501,2021-02-09 22:12:32
27,LOG_791265,INS_365750,user logged in,201,2020-04-16 23:39:58
28,LOG_401861,INS_925108,user logged in,201,2021-09-22 23:53:14
29,LOG_946180,INS_224813,user logged in,201,2021-04-24 21:13:48
30,LOG_724158,INS_565263,user logged in,201,2020-07-25 18:38:35
31,LOG_473322,INS_613509,instance terminated,999,2020-02-02 10:41:07
32,LOG_481911,INS_374601,instance crashed,500,2021-03-29 16:04:11
33,LOG_676855,INS_174873,instance crashed,500,2020-05-16 14:25:08
34,LOG_354124,INS_833480,instance terminated,999,2020-09-10 17:50:57
35,LOG_139741,INS_563639,instance restart,501,2020-09-21 08:26:01
36,LOG_594554,INS_293721,instance restart,501,2020-04-24 01:19:39
37,LOG_565330,INS_521014,instance initiated,200,2020-12-15 00:34:09
38,LOG_654645,INS_864586,instance terminated,999,2020-09-14 21:32:13
39,LOG_187092,INS_977109,instance restart,501,2020-02-03 17:15:26
40,LOG_284199,INS_811118,instance initiated,200,2020-12-13 20:26:00
41,LOG_141975,INS_509163,user logged in,201,2021-05-08 09:30:11
42,LOG_291195,INS_233687,instance initiated,200,2020-02-18 10:55:05
43,LOG_557353,INS_892697,instance restart,501,2021-08-16 14:54:42
44,LOG_666990,INS_317109,instance crashed,500,2021-08-27 15:21:19
45,LOG_925513,INS_770326,instance shutdown,499,2021-01-31 12:53:13
46,LOG_578792,INS_874285,user logged in,201,2020-04-22 03:47:09
47,LOG_901060,INS_826953,user logged in,201,2020-03-03 16:55:10
48,LOG_941498,INS_679717,instance terminated,999,2021-03-09 05:20:10
49,LOG_165458,INS_509966,instance initiated,200,2021-11-12 14:40:45
50,LOG_395086,INS_947712,user logged in,201,2021-05-16 14:11:04
51,LOG_342512,INS_590954,instance shutdown,499,2021-04-30 06:12:38
52,LOG_547808,INS_135891,instance shutdown,499,2021-01-22 23:29:33
53,LOG_710207,INS_980011,user logged in,201,2021-11-01 13:57:19
54,LOG_168272,INS_817718,instance initiated,200,2020-05-12 19:33:38
55,LOG_362266,INS_458006,instance shutdown,499,2021-07-28 15:14:17
56,LOG_778240,INS_370453,user logged in,201,2020-11-14 15:26:46
